EmployeeID,Age,Gender,Department,City,ExperienceYears,AnnualSalary,PerformanceScore,WeeklyHours,ProjectsCompleted,SatisfactionScore,CommuteKm,BMI,MonthlySalesK,DiscountPercent,JoinDate
252,31,Female,IT,Mumbai,12,579027,87,46.6,5,7.3,1.2,31.8,42.72,25,2020-06-07
253,30,Female,Finance,Mumbai,8,1370430,57,38.5,4,9.4,5.1,26.9,262.46,30,2020-09-03
254,36,Female,Operations,Kolkata,17,653147,69,47.7,5,6.7,13.4,22.3,276.82,0,2021-03-30
255,20,Male,Sales,Pune,0,783579,82,38.3,4,7.1,2.6,19.9,116.66,20,2023-06-15
256,42,Female,Sales,Chennai,20,540400,74,39.4,2,7.5,12.8,27.9,209.51,10,2023-06-16
257,39,Male,Sales,Bengaluru,20,521504,58,43.5,6,7.5,2.7,29.3,154.92,15,2023-06-29
258,32,Female,HR,Pune,9,420318,69,41.9,5,3.5,1.0,26.6,244.8,25,2022-01-07
259,34,Male,Sales,Mumbai,14,977105,73,46.7,3,8.9,15.0,23.4,101.19,25,2020-11-17
260,45,Male,IT,Hyderabad,24,954623,76,44.7,2,8.8,1.1,21.0,204.33,5,2022-05-04
261,33,Male,Operations,Delhi,12,1055850,80,42.7,6,6.2,8.9,30.3,98.13,25,2020-08-30
262,39,Female,IT,Kolkata,17,2606608,92,46.1,4,6.9,2.5,22.2,198.55,20,2021-04-20
263,33,Male,IT,Jaipur,10,1535987,77,40.9,3,7.1,17.4,25.5,105.98,5,2024-03-31
264,34,Male,Operations,Chennai,14,700984,80,49.0,1,8.1,6.0,18.8,431.2,20,2022-12-11
265,25,Male,Finance,Pune,2,5488519,62,44.7,3,5.1,39.4,28.9,84.86,10,2024-05-03
266,37,Female,Marketing,Delhi,17,477809,65,35.0,5,4.3,9.5,20.2,127.48,0,2021-01-01
267,18,Male,Operations,Chennai,0,2028635,81,38.1,1,8.2,5.4,27.4,156.09,30,2025-06-20
268,18,Male,IT,Delhi,0,1040335,73,47.5,3,8.0,6.5,30.2,64.28,15,2021-08-14
269,30,Male,Operations,Hyderabad,8,895113,71,47.8,5,6.0,12.9,24.6,137.73,20,2023-05-14
270,49,Female,IT,Bengaluru,28,1017631,75,44.7,5,5.6,4.3,17.9,135.18,25,2021-08-05
271,23,Female,IT,Jaipur,4,250000,65,42.0,3,7.2,1.0,16.8,144.95,30,2021-07-16
272,29,Female,IT,Mumbai,7,922316,84,29.4,2,4.9,14.7,20.2,91.59,10,2022-12-12
273,23,Female,IT,Jaipur,1,1202578,68,38.9,5,7.3,11.8,24.5,131.34,20,2024-07-08
274,32,Male,IT,Mumbai,10,1119024,73,39.9,7,6.7,2.3,23.9,115.25,25,2022-09-08
275,45,Female,Finance,Chennai,23,934291,66,33.1,5,6.7,10.3,24.2,115.08,20,2024-09-21
276,38,Female,IT,Hyderabad,16,485658,86,40.8,3,7.1,36.1,28.9,98.68,0,2022-02-05
277,36,Male,HR,Jaipur,13,708703,58,44.4,4,6.5,17.6,27.8,1471.02,5,2024-01-23
278,40,Male,Sales,Pune,21,494952,77,39.4,2,4.8,4.5,23.7,168.46,5,2021-10-19
279,35,Male,Marketing,Mumbai,16,947355,82,41.6,6,5.9,34.4,23.5,312.72,5,2020-05-25
280,26,Male,HR,Jaipur,7,815716,94,43.3,4,6.1,11.9,16.4,213.53,10,2021-10-01
281,30,Female,Sales,Jaipur,11,1952401,80,40.0,4,6.2,17.5,29.8,84.24,5,2024-10-29
282,37,Female,HR,Chennai,16,867143,70,44.5,1,6.0,2.2,28.1,301.23,5,2022-11-06
283,44,Female,Marketing,Hyderabad,21,754565,86,37.0,4,8.5,5.0,23.9,330.5,30,2022-06-10
284,26,Female,Sales,Jaipur,4,775106,71,47.1,6,6.5,10.9,28.3,240.75,30,2022-02-15
285,27,Female,Sales,Pune,4,855045,87,42.3,2,6.0,25.2,25.4,55.05,25,2021-09-15
286,49,Female,Operations,Kolkata,28,591477,63,47.6,1,5.2,11.8,26.7,216.51,15,2023-01-21
287,34,Male,Sales,Chennai,12,883744,80,43.6,4,8.9,6.5,27.4,121.05,20,2025-03-20
288,28,Female,HR,Kolkata,9,1089711,77,40.0,6,7.1,6.3,29.2,161.69,0,2023-03-09
289,25,Female,Finance,Delhi,6,632623,76,41.2,2,6.1,12.0,22.6,249.48,25,2023-07-21
290,22,Male,Sales,Pune,3,823170,71,36.1,5,9.6,4.1,22.7,384.13,20,2021-06-17
291,41,Female,IT,Hyderabad,19,752212,79,44.5,2,7.7,1.7,21.9,30.71,0,2024-02-27
292,36,Female,IT,Chennai,17,1215984,78,43.4,3,7.9,1.1,21.7,74.02,15,2024-04-26
293,24,Female,Sales,Chennai,2,853508,84,45.7,5,10.0,3.2,21.6,204.45,10,2020-10-24
294,24,Male,Operations,Chennai,3,473364,72,49.4,4,6.4,1.2,27.2,194.72,30,2023-10-14
295,32,Female,IT,Delhi,13,779048,58,41.7,5,5.6,3.5,29.7,48.76,30,2021-03-20
296,43,Female,Sales,Kolkata,20,4254660,70,36.0,1,6.6,7.5,21.6,273.66,15,2023-11-18
297,44,Female,Marketing,Hyderabad,23,784425,65,42.8,3,6.9,8.1,28.8,465.29,5,2023-08-14
298,28,Female,Sales,Jaipur,8,417065,75,41.5,4,4.0,1.9,27.3,188.97,25,2021-11-06
299,41,Female,IT,Jaipur,22,2472369,67,33.1,6,10.0,20.4,24.7,143.74,10,2021-11-13
300,29,Female,Marketing,Chennai,6,1614114,65,46.9,6,8.4,2.5,25.5,185.02,0,2024-12-17
301,24,Male,Sales,Bengaluru,2,941633,62,40.2,5,7.8,65.8,20.7,206.15,25,2024-11-17
302,36,Male,Sales,Delhi,17,2050971,70,41.0,5,6.8,12.0,24.0,51.65,30,2023-04-25
303,46,Female,Finance,Bengaluru,23,418725,82,45.1,5,6.4,13.8,25.7,160.81,30,2021-03-12
304,33,Male,Sales,Kolkata,12,639366,61,44.4,6,8.8,12.0,29.8,128.93,15,2020-06-14
305,38,Female,IT,Hyderabad,15,1783541,75,34.2,6,5.8,6.4,20.8,477.46,0,2023-05-06
306,37,Female,IT,Chennai,14,909831,85,36.4,6,7.1,1.4,25.8,348.47,5,2023-10-04
307,35,Male,Marketing,Chennai,14,864376,73,34.2,2,6.1,1.0,24.0,152.5,5,2024-01-17
308,23,Female,Sales,Chennai,3,683295,79,42.3,5,8.0,1.0,32.5,164.56,15,2020-10-23
309,35,Male,HR,Bengaluru,13,691593,88,32.8,1,7.8,22.9,25.3,142.48,10,2021-03-26
310,41,Female,Operations,Bengaluru,22,250000,66,50.4,7,7.6,15.7,21.7,207.13,10,2022-06-08
311,18,Female,Operations,Pune,0,905115,64,40.7,5,7.8,1.2,18.8,149.21,30,2020-01-26
312,30,Male,Sales,Mumbai,8,555321,65,49.4,5,3.4,7.5,19.0,42.85,5,2024-06-05
313,40,Male,Operations,Chennai,17,1718071,64,37.9,4,6.1,13.8,23.3,180.78,0,2022-11-20
314,44,Male,Sales,Pune,21,944862,69,39.9,5,8.2,3.3,35.3,69.96,30,2023-04-03
315,41,Female,Marketing,Kolkata,19,713251,63,41.7,5,8.7,13.6,28.9,157.34,20,2022-01-23
316,38,Female,Sales,Mumbai,15,593419,52,51.4,7,3.9,8.8,24.7,180.55,25,2023-01-13
317,41,Female,HR,Hyderabad,21,920762,70,42.4,5,5.5,8.0,18.7,215.72,20,2022-06-30
318,23,Male,Sales,Jaipur,2,1231003,78,39.1,6,9.0,2.1,23.0,156.82,5,2024-09-14
319,28,Male,Sales,Chennai,6,792993,54,37.2,4,4.9,1.9,15.0,17.24,20,2021-09-09
320,34,Female,IT,Chennai,14,967498,76,49.4,9,6.1,41.9,32.7,353.44,25,2025-01-31
321,39,Female,IT,Delhi,16,643201,70,40.9,4,6.2,9.0,22.8,519.96,5,2020-02-16
322,46,Male,Operations,Jaipur,23,793548,84,39.2,7,6.0,4.0,27.3,228.75,15,2024-07-03
323,28,Male,IT,Mumbai,8,8054440,77,44.6,6,8.3,9.7,22.4,363.15,5,2021-02-12
324,36,Female,Finance,Hyderabad,17,980133,84,44.2,3,8.2,37.5,24.5,287.98,25,2023-09-25
325,39,Female,Operations,Pune,19,1415033,68,44.9,6,8.4,7.8,20.4,188.24,20,2024-02-10
326,19,Male,IT,Jaipur,0,629566,66,43.9,4,8.2,4.1,22.5,242.08,20,2021-01-31
327,33,Male,IT,Chennai,10,1104001,68,48.5,2,6.7,10.4,22.8,154.54,15,2022-04-23
328,23,Female,Sales,Bengaluru,0,2279712,93,43.8,2,7.5,29.7,20.6,70.0,25,2022-01-12
329,38,Female,Finance,Delhi,19,1229891,83,41.7,4,7.7,1.6,26.7,372.44,0,2020-02-08
330,35,Male,Sales,Pune,12,543223,58,31.3,5,7.6,11.0,25.7,167.9,25,2021-12-20
331,37,Male,Operations,Delhi,16,1073335,76,47.3,2,8.1,9.0,18.3,37.98,0,2025-06-16
332,30,Male,Operations,Delhi,11,614318,52,30.3,6,7.2,1.4,27.3,374.25,20,2024-01-18
333,39,Male,HR,Hyderabad,16,629771,77,38.3,1,4.3,27.0,27.9,259.13,15,2022-06-16
334,21,Male,Sales,Mumbai,0,602127,72,41.4,1,7.9,6.2,31.8,93.01,15,2021-07-24
335,34,Female,Marketing,Kolkata,15,909349,58,37.4,7,8.3,3.1,27.7,634.67,15,2023-10-20
336,37,Male,IT,Mumbai,18,927712,76,42.5,2,6.5,8.4,29.0,188.65,20,2023-01-24
337,46,Male,Operations,Jaipur,26,871478,76,40.1,6,7.8,14.7,21.9,148.49,25,2022-03-07
338,29,Female,IT,Jaipur,9,907664,75,32.3,5,9.0,5.2,23.5,309.32,0,2023-04-24
339,47,Female,Operations,Chennai,26,1716760,80,38.1,6,7.0,4.5,27.4,71.83,0,2022-08-01
340,28,Male,Operations,Jaipur,9,770923,66,29.6,1,7.2,13.5,22.8,106.81,30,2023-09-28
341,27,Male,Operations,Mumbai,6,757515,86,45.3,2,6.1,16.3,26.2,79.97,0,2023-03-06
342,35,Male,Marketing,Hyderabad,13,1081567,64,37.8,4,7.0,13.4,29.3,226.26,25,2023-12-11
343,27,Female,Sales,Jaipur,7,1084074,74,41.2,7,5.9,16.5,25.2,77.48,0,2023-07-22
344,35,Male,IT,Bengaluru,14,656638,84,40.0,5,5.1,6.9,25.6,175.51,5,2021-07-12
345,37,Male,IT,Pune,16,401885,80,47.6,4,8.2,5.4,22.1,179.25,30,2024-01-23
346,36,Female,IT,Hyderabad,17,1264150,68,39.8,5,8.2,19.7,18.8,108.38,5,2025-06-09
347,31,Female,Sales,Mumbai,12,620432,85,39.9,6,10.0,11.2,25.9,424.63,0,2023-11-15
348,43,Male,IT,Chennai,22,932331,67,48.2,3,10.0,31.5,25.0,277.54,30,2024-03-29
349,33,Female,Operations,Kolkata,11,878321,81,43.0,3,6.2,30.1,28.1,91.91,10,2022-11-02
350,40,Male,IT,Pune,21,580417,79,42.5,2,8.0,4.4,24.6,163.76,5,2022-11-23
351,29,Female,Operations,Chennai,7,639115,58,32.3,6,6.4,1.1,27.4,119.81,15,2025-04-18
352,38,Female,Operations,Bengaluru,15,412678,63,53.3,2,5.7,3.6,27.0,76.82,20,2020-08-28
353,42,Female,Operations,Bengaluru,22,651181,76,41.3,3,8.3,64.1,20.2,75.08,15,2021-01-04
354,29,Male,Operations,Jaipur,8,1170201,78,46.0,3,7.9,14.2,27.1,293.41,25,2022-05-16
355,32,Male,IT,Bengaluru,9,1154982,67,37.4,5,6.3,1.0,17.4,151.14,15,2023-10-06
356,18,Male,Sales,Delhi,0,1259487,94,30.5,4,6.2,1.5,24.1,244.24,10,2022-11-24
357,26,Female,IT,Delhi,5,1086561,94,31.4,3,7.9,7.6,25.4,78.31,0,2025-01-07
358,35,Female,Operations,Jaipur,14,1243375,73,32.3,5,7.6,2.2,22.6,151.87,25,2023-04-14
359,39,Female,Finance,Kolkata,16,898551,100,45.3,4,6.1,1.6,35.5,23.9,0,2024-09-10
360,32,Female,Operations,Jaipur,12,1079547,77,39.3,3,5.8,35.3,21.4,213.11,30,2020-04-09
361,35,Female,IT,Kolkata,12,374893,67,45.2,5,8.0,5.9,24.9,112.83,25,2020-11-11
362,39,Female,IT,Delhi,19,791961,82,40.6,5,6.1,11.0,26.5,72.26,10,2023-06-11
363,37,Male,Sales,Jaipur,14,955361,88,38.8,2,6.4,19.4,24.8,196.73,5,2022-12-07
364,23,Male,Sales,Mumbai,4,816348,80,36.9,4,5.8,17.6,28.7,125.45,30,2022-03-15
365,40,Female,Marketing,Jaipur,19,669186,77,39.2,3,4.6,1.3,19.6,155.43,0,2020-01-28
366,37,Female,Operations,Jaipur,17,1204409,85,39.0,8,5.8,1.1,18.1,94.3,30,2020-02-02
367,31,Female,Sales,Bengaluru,8,1186910,68,35.6,6,5.3,1.0,25.5,100.0,25,2022-06-30
368,41,Male,IT,Kolkata,21,1278306,72,42.6,5,8.4,10.9,19.2,162.3,15,2022-03-29
369,22,Female,Operations,Jaipur,3,951983,76,42.2,5,7.6,11.7,23.2,197.03,15,2020-02-12
370,39,Male,Marketing,Bengaluru,19,1230216,88,35.5,3,6.7,6.5,20.6,114.21,30,2020-11-27
371,28,Male,IT,Bengaluru,5,894321,69,45.2,6,8.4,3.6,24.5,187.04,30,2025-01-05
372,18,Female,HR,Mumbai,0,2223666,74,36.7,4,9.3,24.8,19.7,169.1,0,2025-03-12
373,46,Female,Operations,Mumbai,23,395151,69,42.7,4,7.7,4.1,23.3,132.79,25,2024-11-17
374,42,Male,Operations,Bengaluru,21,1185116,83,37.2,5,6.0,1.1,28.5,87.8,10,2023-07-13
375,30,Male,HR,Kolkata,11,725365,70,37.6,6,6.8,1.9,25.3,328.89,25,2020-11-05
376,35,Male,Operations,Hyderabad,16,448969,73,41.2,3,6.3,6.2,23.1,560.03,20,2024-06-02
377,26,Female,Operations,Kolkata,5,449705,67,43.6,1,6.4,8.8,16.4,158.23,20,2023-02-04
378,30,Female,Sales,Hyderabad,8,691947,83,42.5,8,9.1,1.6,26.2,68.06,15,2021-11-25
379,47,Female,IT,Bengaluru,28,1945779,73,39.6,6,6.6,3.4,19.8,98.13,30,2024-05-13
380,30,Male,Operations,Pune,10,708794,78,39.6,5,5.4,18.1,27.4,376.83,25,2022-05-17
381,45,Male,IT,Delhi,25,1085314,74,43.6,5,7.5,2.9,23.0,134.62,20,2022-01-26
382,36,Male,Sales,Hyderabad,16,669780,72,44.8,5,8.3,1.0,28.7,148.04,10,2020-05-18
383,38,Male,Marketing,Chennai,19,1384649,67,43.1,2,5.3,7.2,24.4,101.34,10,2020-07-01
384,36,Female,HR,Chennai,16,2085457,60,29.8,3,4.6,14.7,21.4,161.15,20,2020-06-23
385,36,Female,IT,Bengaluru,17,1730413,87,42.0,2,7.8,21.9,31.7,164.04,20,2023-05-27
386,28,Male,Operations,Kolkata,8,931922,87,42.5,5,8.9,4.0,23.9,36.63,5,2021-09-20
387,44,Male,IT,Pune,21,1354588,70,41.0,3,7.4,3.3,23.7,170.96,20,2024-03-20
388,18,Male,Sales,Kolkata,0,2973396,74,43.1,5,5.1,1.3,22.7,326.19,5,2021-09-15
389,25,Female,Sales,Chennai,6,2004247,70,39.1,4,8.5,11.6,15.1,181.25,0,2025-03-26
390,38,Male,Operations,Chennai,17,1297694,71,43.9,3,6.4,1.1,24.2,500.5,25,2023-02-13
391,49,Female,IT,Chennai,27,1122157,74,51.0,1,6.6,38.3,27.0,181.24,15,2024-04-10
392,30,Female,Finance,Jaipur,7,787713,77,39.8,3,6.9,7.5,24.0,336.67,5,2024-03-01
393,39,Female,Sales,Hyderabad,18,444664,76,43.3,3,6.9,49.8,24.2,176.08,10,2023-03-11
394,28,Female,IT,Delhi,6,571847,74,44.4,5,7.3,18.3,29.3,56.02,25,2023-10-20
395,27,Male,Operations,Kolkata,8,521635,73,34.4,1,5.4,25.8,29.7,101.29,15,2022-12-26
396,32,Female,Marketing,Pune,10,1343755,75,45.6,4,8.9,1.0,26.7,139.61,30,2023-07-06
397,47,Male,Sales,Chennai,25,918089,67,46.6,1,5.7,1.2,22.0,140.85,0,2025-02-20
398,39,Male,IT,Jaipur,16,848788,76,48.5,5,9.8,6.2,27.0,184.13,30,2023-05-12
399,35,Female,HR,Mumbai,15,1342761,61,35.7,8,7.2,10.9,26.2,71.64,25,2022-11-08
400,32,Male,HR,Pune,13,263022,85,46.0,5,5.8,17.9,32.2,88.74,10,2021-08-19
401,32,Male,IT,Bengaluru,13,1453216,75,32.5,4,8.0,18.5,32.8,91.8,25,2023-11-17
402,43,Female,Operations,Chennai,22,558150,73,38.1,3,8.0,1.0,25.2,103.57,20,2021-03-12
403,33,Male,Operations,Kolkata,12,802764,91,48.1,10,7.9,2.6,26.7,218.5,0,2025-06-20
404,38,Male,Sales,Delhi,16,579817,76,38.6,7,8.2,3.3,23.2,383.79,20,2024-06-24
405,49,Female,Sales,Delhi,26,774426,74,42.9,3,8.1,1.0,24.1,173.8,20,2021-08-25
406,34,Male,IT,Delhi,11,1311685,66,49.8,1,4.8,1.0,25.6,155.44,25,2024-03-18
407,23,Female,Sales,Jaipur,3,667709,74,40.7,2,6.6,3.0,23.9,128.54,15,2023-03-16
408,41,Male,IT,Mumbai,20,912929,91,40.3,7,5.7,8.3,26.1,138.23,0,2022-01-05
409,38,Female,Finance,Hyderabad,19,674790,70,44.0,4,6.1,13.8,31.5,68.17,5,2024-10-17
410,33,Male,Sales,Chennai,12,756870,58,43.1,3,5.2,17.2,25.3,82.39,5,2024-01-21
411,32,Female,IT,Jaipur,13,1249448,63,41.0,2,7.3,2.8,18.4,133.49,10,2020-10-11
412,29,Female,Finance,Chennai,6,1144536,72,39.2,6,5.7,1.0,23.7,93.56,20,2025-02-14
413,20,Male,Sales,Kolkata,0,992513,62,42.9,5,7.6,9.7,25.5,147.85,0,2025-02-09
414,39,Female,Marketing,Jaipur,17,829448,73,47.7,5,5.3,1.0,23.5,92.86,15,2024-08-02
415,30,Male,IT,Bengaluru,11,600740,64,34.4,4,9.6,7.4,20.1,202.13,10,2023-08-16
416,39,Female,HR,Delhi,18,1056203,67,39.3,5,5.7,1.2,19.3,185.76,30,2020-11-19
417,31,Male,IT,Bengaluru,10,1132786,88,46.3,3,7.1,18.1,19.8,134.27,5,2022-11-02
418,34,Female,HR,Bengaluru,14,529182,75,41.4,5,8.7,3.3,26.6,83.77,20,2024-02-27
419,30,Male,IT,Chennai,7,1720835,77,45.5,7,9.0,8.9,26.2,245.37,0,2022-03-10
420,29,Female,Sales,Bengaluru,10,720719,64,46.4,4,8.4,2.6,24.3,187.49,0,2024-06-20
421,39,Female,Sales,Chennai,17,3896916,62,38.9,7,6.0,1.3,25.8,102.67,25,2024-07-27
422,31,Male,Sales,Hyderabad,8,966627,88,42.6,2,6.0,5.9,29.5,94.87,30,2024-12-15
423,24,Male,Sales,Jaipur,4,545482,49,36.7,6,7.2,27.3,30.0,70.8,30,2021-05-13
424,30,Male,Finance,Kolkata,9,2029709,72,42.4,5,6.9,3.9,20.9,278.05,20,2024-06-09
425,44,Male,IT,Chennai,23,1093640,72,40.1,6,6.1,11.9,24.2,62.12,5,2020-04-16
426,30,Male,Sales,Bengaluru,8,1158234,70,42.2,5,7.0,3.4,27.0,100.5,25,2021-02-16
427,31,Male,Operations,Kolkata,8,913979,92,44.7,6,8.1,1.0,18.1,65.0,30,2025-01-30
428,42,Male,IT,Kolkata,20,704682,68,36.6,5,8.1,2.0,27.9,150.39,15,2022-04-08
429,49,Male,HR,Mumbai,28,1527623,64,40.8,5,7.6,3.5,28.5,152.93,25,2022-01-24
430,29,Male,IT,Pune,9,1045751,61,46.2,4,7.8,3.4,23.7,190.5,5,2020-01-26
431,35,Female,HR,Mumbai,15,634599,77,38.8,4,5.7,12.9,34.4,126.0,15,2024-03-21
432,42,Female,Sales,Chennai,19,369265,63,43.6,3,7.9,8.1,24.6,129.75,10,2024-02-10
433,28,Male,IT,Delhi,6,961189,77,39.6,4,7.0,2.6,17.2,74.41,0,2024-11-13
434,30,Male,HR,Chennai,7,4290255,71,45.6,5,7.0,10.5,24.0,153.51,20,2022-12-01
435,46,Male,Finance,Kolkata,26,754071,73,38.1,7,6.0,11.3,27.6,283.79,30,2024-12-23
436,34,Male,Operations,Bengaluru,11,1136948,73,37.3,7,8.7,37.9,35.3,129.0,30,2024-02-15
437,29,Female,Finance,Mumbai,10,1724955,84,35.1,8,6.8,5.8,22.8,219.99,30,2022-12-01
438,42,Female,Sales,Mumbai,23,1215528,62,39.6,7,6.3,13.0,25.2,106.95,30,2025-04-17
439,31,Male,Operations,Chennai,11,672912,71,49.0,3,7.6,1.8,23.3,170.74,0,2024-06-17
440,27,Female,IT,Chennai,8,1208379,56,36.3,7,4.3,19.8,21.5,108.73,0,2020-08-16
441,44,Male,IT,Chennai,22,633233,83,45.0,6,6.2,5.9,23.1,106.4,30,2023-10-23
442,36,Male,IT,Pune,17,1514551,72,36.6,4,6.3,13.1,23.2,426.12,20,2021-10-17
443,24,Female,Marketing,Jaipur,1,349251,100,39.6,3,8.0,16.0,23.4,576.97,10,2024-07-27
444,24,Male,Finance,Jaipur,1,753161,58,50.4,4,6.7,23.3,22.0,132.27,30,2024-06-08
445,20,Male,Finance,Delhi,0,1326688,66,36.6,5,7.7,5.4,30.0,187.3,0,2020-07-15
446,27,Female,Sales,Chennai,4,1060884,83,31.0,2,7.1,14.0,29.1,98.93,30,2023-10-05
447,25,Female,Marketing,Chennai,5,398908,60,44.5,5,7.3,52.4,29.8,140.01,0,2024-06-14
448,26,Male,Marketing,Chennai,6,1190348,69,52.1,6,8.9,9.2,25.1,281.17,20,2024-09-10
449,22,Male,IT,Mumbai,0,516717,66,44.9,7,7.6,2.8,26.0,67.6,30,2024-03-22
450,54,Female,Marketing,Delhi,35,1843116,81,31.3,7,6.1,10.3,20.8,228.46,10,2023-05-26
451,27,Male,IT,Pune,4,995235,73,43.6,6,8.4,1.0,28.5,99.75,5,2022-03-30
452,18,Male,Operations,Bengaluru,0,616749,81,49.3,6,7.9,6.5,19.6,139.84,20,2021-05-21
453,36,Male,IT,Chennai,13,754117,77,39.0,3,7.0,5.7,25.1,326.09,0,2024-05-22
454,37,Female,IT,Mumbai,16,1688171,72,34.4,4,7.7,35.1,23.0,126.1,25,2023-10-20
455,42,Male,Operations,Delhi,23,1455467,72,41.6,8,5.9,30.1,23.2,188.31,30,2021-05-25
456,29,Other,Sales,Jaipur,9,345939,65,38.0,4,7.5,23.4,21.4,325.93,10,2024-09-27
457,35,Male,Operations,Pune,13,514657,77,45.5,5,6.2,1.6,20.1,127.08,10,2021-05-15
458,44,Male,IT,Jaipur,25,1671020,74,49.3,4,9.6,8.7,28.0,336.11,15,2020-12-15
459,30,Female,Operations,Mumbai,8,1063581,78,40.6,7,10.0,8.7,20.1,141.52,0,2020-01-11
460,25,Male,Marketing,Jaipur,5,1516958,87,44.0,7,9.6,3.5,24.8,142.94,10,2022-05-27
461,40,Male,Sales,Jaipur,19,831166,67,44.5,6,7.3,1.0,27.0,98.18,0,2020-11-24
462,23,Male,Sales,Jaipur,2,507057,53,44.4,1,3.6,22.2,24.4,131.91,0,2024-06-11
463,37,Female,Sales,Pune,18,838021,75,40.0,3,7.1,2.0,21.5,152.33,30,2020-08-23
464,49,Male,IT,Jaipur,27,1229562,50,39.5,1,9.0,12.1,24.2,108.81,0,2021-07-14
465,51,Male,Sales,Pune,31,619029,73,37.5,6,6.6,1.4,25.1,200.31,0,2021-01-07
466,35,Male,Sales,Mumbai,14,890951,75,38.5,5,5.9,17.7,19.2,82.73,30,2022-01-10
467,32,Female,HR,Bengaluru,13,396261,61,40.2,4,10.0,25.9,27.2,224.85,15,2025-03-10
468,48,Female,Marketing,Bengaluru,29,549251,88,39.2,4,9.0,22.5,20.2,164.98,10,2022-07-07
469,30,Male,Sales,Pune,10,1495850,71,44.0,6,10.0,2.5,28.5,284.79,20,2024-11-17
470,29,Male,IT,Kolkata,9,673198,74,38.8,5,6.0,18.8,16.7,128.21,20,2021-06-14
471,31,Male,IT,Pune,10,738420,81,37.9,4,10.0,54.7,28.1,107.0,25,2021-12-12
472,18,Female,Sales,Hyderabad,0,1022316,55,41.1,2,8.1,3.0,17.7,428.36,30,2024-05-12
473,42,Male,Operations,Bengaluru,22,587415,70,43.4,3,7.0,3.2,22.2,216.93,15,2020-07-10
474,24,Female,Sales,Delhi,2,655845,75,41.4,4,6.6,1.0,23.5,165.92,30,2020-01-25
475,26,Male,Sales,Pune,3,3910893,69,47.8,7,4.3,23.0,22.6,239.72,15,2020-11-12
476,33,Male,IT,Pune,12,950405,87,45.3,6,7.3,6.7,24.0,52.32,5,2025-03-02
477,38,Other,Finance,Bengaluru,15,675704,68,52.0,7,10.0,27.1,20.3,170.97,20,2021-11-16
478,23,Female,Operations,Hyderabad,1,4295412,66,40.6,5,7.1,1.9,22.3,114.5,15,2024-07-26
479,42,Male,Sales,Delhi,21,706485,80,44.0,6,4.7,4.9,28.2,368.47,5,2022-02-23
480,24,Female,Finance,Bengaluru,5,780126,80,37.1,6,7.0,3.2,18.3,74.73,30,2024-10-05
481,42,Female,Finance,Kolkata,21,816670,61,42.4,8,5.4,13.0,29.0,129.03,0,2020-01-26
482,19,Male,IT,Delhi,0,691858,67,41.9,1,7.5,4.1,18.5,150.52,30,2022-05-17
483,26,Male,IT,Hyderabad,7,1909036,56,40.7,2,7.5,3.0,29.9,41.63,20,2023-05-24
484,41,Female,Finance,Kolkata,21,1746056,59,43.4,3,7.5,11.1,25.5,91.98,0,2021-03-09
485,21,Male,Sales,Pune,0,952482,65,42.1,5,6.5,1.2,24.6,150.05,15,2024-01-26
486,30,Female,Marketing,Mumbai,7,785855,79,33.4,4,8.2,1.0,29.6,105.46,25,2023-09-01
487,41,Female,Finance,Chennai,22,586142,87,39.5,5,9.3,13.8,26.1,223.11,30,2025-06-07
488,37,Male,Sales,Hyderabad,17,801551,54,44.1,6,7.2,7.7,21.4,179.58,0,2025-06-13
489,30,Female,HR,Delhi,9,1035434,73,36.4,5,5.6,25.2,26.8,406.19,20,2020-01-17
490,35,Male,Sales,Mumbai,15,1099886,78,43.7,9,4.3,1.4,22.9,103.7,15,2024-04-22
491,25,Other,Marketing,Jaipur,2,521398,79,43.9,8,7.8,2.9,23.8,202.69,30,2022-01-10
492,38,Female,Sales,Kolkata,16,810741,48,41.1,7,8.3,13.3,21.0,34.79,0,2025-01-06
493,38,Male,Sales,Kolkata,17,514931,69,35.8,5,7.9,26.9,19.9,48.99,20,2023-06-16
494,40,Female,Sales,Delhi,19,1796852,86,37.6,5,6.2,34.4,12.8,410.02,25,2025-06-08
495,31,Female,HR,Delhi,9,682240,73,39.2,4,8.4,5.4,23.4,111.77,30,2024-11-12
496,39,Male,HR,Kolkata,19,626570,83,33.6,4,7.9,9.4,29.3,68.28,25,2023-10-25
497,26,Female,Operations,Mumbai,7,375954,78,51.1,4,5.5,16.7,27.0,130.74,0,2023-09-29
498,30,Female,IT,Mumbai,8,1551288,85,43.9,7,6.3,1.0,18.2,127.02,10,2021-07-02
499,37,Male,IT,Kolkata,17,952386,69,43.1,5,7.9,6.7,29.1,164.83,20,2023-08-12
500,30,Female,HR,Kolkata,11,1717731,77,45.1,4,9.2,8.4,28.7,280.85,30,2024-04-09
501,28,Male,Sales,Mumbai,9,1149464,69,46.5,6,6.1,1.0,15.8,93.77,5,2022-07-18
502,23,Female,Sales,Hyderabad,1,2226280,62,45.3,8,7.0,1.0,25.8,95.4,10,2025-01-06
503,34,Male,Operations,Mumbai,13,782189,78,40.9,5,7.3,1.0,22.1,69.84,20,2024-10-16
504,54,Female,Finance,Pune,33,1353422,80,46.5,7,8.8,2.0,25.2,97.26,5,2020-06-19
